rank,n,w,h,d,k,t,sig_bytes,mean_ms,median_ms,min_ms,max_ms,stdev_ms,sk_bytes,pk_bytes
108,16,64,12,3,6,16,0,48.38362,47.4799,45.4313,51.6971,3.043879,64,32
109,16,64,12,3,8,8,0,48.53952,48.0909,47.3139,50.4815,1.196828,64,32
110,16,16,10,2,8,32,0,48.6755,48.8337,45.2134,52.2674,2.514341,64,32
111,16,16,10,2,8,16,0,50.06798,45.6491,40.4019,64.0067,10.649627,64,32
112,16,4,12,2,8,16,0,50.28166,48.5923,38.5809,58.8521,8.161072,64,32
113,16,256,6,3,8,8,0,51.25602,50.7867,42.6854,60.2535,6.69665,64,32
114,16,16,10,2,4,32,0,51.85084,50.4745,38.7596,68.6617,10.942312,64,32
115,16,16,10,2,8,8,0,51.96568,43.7171,34.645,72.6743,18.386599,64,32
116,16,256,6,3,8,32,0,54.54088,54.5351,46.4681,63.8137,6.184741,64,32
117,16,16,10,2,6,16,0,60.05806,59.888,34.88,89.4857,19.632218,64,32
118,16,16,12,2,8,32,0,71.84252,71.6035,70.2086,73.9749,1.517684,64,32
119,16,256,6,2,6,16,0,73.84258,74.2332,72.2922,75.0853,1.104177,64,32
120,16,256,6,2,4,16,0,75.80682,74.1496,72.2102,79.5141,3.434874,64,32
121,16,256,6,2,8,16,0,76.31664,77.6115,69.3928,79.1608,3.927606,64,32
122,16,256,6,2,6,8,0,76.87864,77.8071,70.9435,79.6212,3.406541,64,32
123,16,256,6,2,6,32,0,76.977,77.0158,76.2282,77.4774,0.485965,64,32
124,16,256,6,2,8,8,0,77.4829,77.3289,76.1759,78.5684,0.912548,64,32
125,16,256,6,2,8,32,0,78.1754,79.596,72.096,81.0434,3.652138,64,32
126,16,256,6,2,4,32,0,78.7725,79.0339,77.2738,80.3812,1.264381,64,32
127,16,16,12,2,8,16,0,79.5184,79.85,68.2049,90.7137,8.608802,64,32
128,16,256,6,2,4,8,0,80.20586,77.945,77.0499,85.1425,3.888131,64,32
129,16,64,10,2,8,16,0,93.0383,90.7204,88.3782,98.854,4.673319,64,32
130,16,64,10,2,6,8,0,93.60394,92.3878,91.033,99.4932,3.500934,64,32
131,16,16,12,2,8,8,0,93.80316,94.8446,72.457,122.374,20.695686,64,32
132,16,16,12,2,4,32,0,94.79146,93.4896,69.765,122.1995,19.123256,64,32
133,16,16,12,2,6,8,0,95.12694,103.4439,69.7823,114.9854,18.291223,64,32
134,16,16,12,2,6,16,0,95.30822,88.9579,79.2289,113.1341,14.417318,64,32
135,16,64,10,2,4,32,0,95.81858,97.3162,89.5204,99.6171,3.952964,64,32
136,16,64,10,2,8,32,0,96.25378,96.4925,92.1734,98.8648,2.692884,64,32
137,16,64,10,2,4,8,0,96.27372,97.0202,92.6105,99.6152,2.941275,64,32
138,16,64,10,2,8,8,0,98.93538,101.2755,92.8983,103.8881,4.759283,64,32
139,16,64,10,2,6,32,0,99.64062,99.1704,96.9141,104.3399,2.87075,64,32
140,16,64,10,2,6,16,0,99.67314,97.4776,93.8697,114.1374,8.292789,64,32
141,16,16,12,2,6,32,0,100.40472,92.3017,89.8826,132.1775,17.98892,64,32
142,16,64,10,2,4,16,0,104.13624,99.9446,95.1282,119.9975,10.15493,64,32
143,16,16,12,2,4,8,0,104.47386,104.3322,81.0397,129.9597,19.527627,64,32
144,16,16,12,2,4,16,0,133.39656,129.9558,121.429,144.7348,9.442827,64,32
145,16,256,12,3,6,32,0,158.47454,158.1772,152.696,165.0727,4.691971,64,32
146,16,256,12,3,8,8,0,161.51756,161.2315,160.0916,162.8351,1.244255,64,32
147,16,256,12,3,6,8,0,163.85528,163.3364,153.4609,170.4437,6.877441,64,32
148,16,256,12,3,4,8,0,168.77542,165.577,161.795,182.6625,8.132097,64,32
149,16,256,12,3,6,16,0,171.16858,171.1366,162.1533,176.7531,5.859782,64,32
150,16,64,12,2,6,8,0,183.24474,181.0025,179.5239,188.2077,3.947623,64,32
151,16,256,12,3,4,32,0,183.37152,183.8485,171.5879,192.6415,9.045123,64,32
152,16,64,12,2,4,32,0,186.32646,181.7539,178.7717,197.849,8.192394,64,32
153,16,256,12,3,8,32,0,186.48262,179.355,169.9884,208.8981,16.08766,64,32
154,16,64,12,2,4,8,0,186.98342,185.9431,177.3455,195.8984,7.513679,64,32
155,16,64,12,2,4,16,0,187.21426,184.6226,179.1577,197.8879,8.519714,64,32
156,16,64,12,2,8,8,0,190.76948,190.1365,183.9373,195.8383,4.879272,64,32
157,16,256,12,3,4,16,0,191.1294,194.5158,170.8779,206.005,13.764679,64,32
158,16,64,12,2,6,32,0,191.37754,191.3361,184.166,195.9844,4.714193,64,32
159,16,64,12,2,8,16,0,195.09644,199.9058,180.5016,206.8937,12.279354,64,32
160,16,64,12,2,8,32,0,195.48572,196.421,188.4417,202.2691,5.92668,64,32
161,16,64,12,2,6,16,0,197.9401,196.9199,195.9468,201.0365,2.340987,64,32
162,16,256,12,3,8,16,0,213.57336,200.1308,177.6049,275.5435,37.921778,64,32
163,16,256,10,2,6,8,0,417.22092,421.212,403.1813,435.0061,13.413579,64,32
164,16,256,10,2,4,16,0,427.48752,424.9439,412.461,439.8204,11.293124,64,32
165,16,256,10,2,4,8,0,428.19748,437.6649,382.0124,469.4305,38.873767,64,32
166,16,256,10,2,8,8,0,428.22816,419.8187,375.4097,488.0343,41.735625,64,32
167,16,256,10,2,6,16,0,428.94774,420.7564,386.8861,474.097,33.728108,64,32
168,16,256,10,2,4,32,0,429.49024,423.1631,347.0913,497.203,58.201506,64,32
169,16,256,10,2,8,32,0,437.21028,443.1531,388.4133,503.0007,48.181306,64,32
170,16,256,10,2,6,32,0,443.64356,445.9661,395.654,470.9997,30.858503,64,32
171,16,256,10,2,8,16,0,450.94458,421.5563,416.8377,539.532,52.716041,64,32
172,16,256,12,2,6,8,0,642.79714,637.1001,621.1963,667.6456,18.938662,64,32
173,16,256,12,2,6,16,0,684.25604,642.178,629.1292,843.468,91.09952,64,32
174,16,256,12,2,6,32,0,695.65826,640.9854,630.9586,923.0501,127.199486,64,32
175,16,256,12,2,8,8,0,700.46938,719.3279,636.7986,737.5883,39.727859,64,32
176,16,256,12,2,8,32,0,718.65,704.2828,690.9968,788.2895,40.126918,64,32
177,16,256,12,2,4,8,0,835.8273,843.9366,703.2855,949.069,100.30807,64,32
178,16,256,12,2,4,32,0,840.89566,817.2338,808.2269,911.4682,42.592833,64,32
179,16,256,12,2,8,16,0,848.9708,803.9917,782.9506,961.9129,78.701072,64,32
180,16,256,12,2,4,16,0,862.0595,861.1711,828.5514,899.4507,29.500962,64,32
